sys_id,property_sys_id,sale_date,sale_price_usd,price_per_unit_usd,price_per_sqft_usd,reported_cap_rate,buyer_name,seller_name,recording_ref,brokerage,was_portfolio,portfolio_name,notes,source,as_of_date,ingested_at,quality_flag
SALE-PROP-000005-1,PROP-000005,2019-07-31,24159154.0,251658.0,320.83,0.0478,HORIZON CAPITAL,LEGACY REALTY,BK8810/PG632,CUSHMAN CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000008-1,PROP-000008,2014-06-30,6413768.0,39348.0,48.11,0.0713,RIDGE CAPITAL,LEGACY REALTY,BK8028/PG636,CBRE CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000008-2,PROP-000008,2018-09-30,5564352.0,34137.0,41.74,0.0698,RIDGE CAPITAL,URBAN REALTY,BK7054/PG588,BERKADIA CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000009-1,PROP-000009,2021-03-31,11747415.0,170252.0,221.22,0.0563,SUMMIT CAPITAL,LEGACY REALTY,BK8801/PG815,CUSHMAN CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000019-1,PROP-000019,2024-03-31,3870753.0,129025.0,149.25,0.052,ATLANTIC CAPITAL,NORTHSTAR REALTY,BK7293/PG778,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000019-2,PROP-000019,2016-01-31,4453774.0,148459.0,171.73,0.0523,PACIFIC CAPITAL,CROWN REALTY,BK5358/PG78,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000021-1,PROP-000021,2019-08-31,22257223.0,229456.0,265.27,0.0633,PACIFIC CAPITAL,URBAN REALTY,BK4659/PG658,CBRE CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000026-1,PROP-000026,2014-05-31,11922553.0,220788.0,251.53,0.0628,ATLANTIC CAPITAL,CROWN REALTY,BK2972/PG312,CBRE CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000029-1,PROP-000029,2017-09-30,79599997.0,414583.0,516.1,0.045,HORIZON CAPITAL,LEGACY REALTY,BK5276/PG219,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000029-2,PROP-000029,2013-10-31,92492552.0,481732.0,599.69,0.0538,PACIFIC CAPITAL,NORTHSTAR REALTY,BK7039/PG486,JLL CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000033-1,PROP-000033,2017-04-30,24661371.0,162246.0,215.95,0.0497,SUMMIT CAPITAL,CROWN REALTY,BK8427/PG301,JLL CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000033-2,PROP-000033,2024-07-31,22798268.0,149989.0,199.64,0.0536,HORIZON CAPITAL,LEGACY REALTY,BK8816/PG387,JLL CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000037-1,PROP-000037,2015-08-31,11452140.0,381738.0,502.55,0.0466,RIDGE CAPITAL,LEGACY REALTY,BK1645/PG914,NEWMARK CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000037-2,PROP-000037,2017-07-31,9968824.0,332294.0,437.46,0.0507,HORIZON CAPITAL,URBAN REALTY,BK3483/PG114,NEWMARK CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000038-1,PROP-000038,2019-03-31,91826360.0,282543.0,334.41,0.0501,HORIZON CAPITAL,SAPPHIRE REALTY,BK6629/PG778,CBRE CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000038-2,PROP-000038,2016-02-29,88583487.0,272565.0,322.6,0.0469,PACIFIC CAPITAL,URBAN REALTY,BK9980/PG852,CBRE CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000039-1,PROP-000039,2021-05-31,8093420.0,269781.0,293.43,0.0546,HORIZON CAPITAL,CROWN REALTY,BK1396/PG63,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000039-2,PROP-000039,2021-05-31,7122373.0,237412.0,258.23,0.0465,SUMMIT CAPITAL,URBAN REALTY,BK9201/PG337,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000040-1,PROP-000040,2017-08-31,65011886.0,215271.0,255.42,0.0522,PACIFIC CAPITAL,CROWN REALTY,BK2113/PG51,JLL CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000040-2,PROP-000040,2020-11-30,55070557.0,182353.0,216.37,0.0572,PACIFIC CAPITAL,NORTHSTAR REALTY,BK6724/PG728,CBRE CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000043-1,PROP-000043,2016-08-31,49503886.0,361342.0,425.71,0.045,ATLANTIC CAPITAL,LEGACY REALTY,BK5352/PG579,CUSHMAN CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000046-1,PROP-000046,2019-04-30,10083457.0,234499.0,271.29,0.0453,PACIFIC CAPITAL,NORTHSTAR REALTY,BK5675/PG472,CBRE CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000047-1,PROP-000047,2024-02-29,77686406.0,424516.0,513.63,0.0598,HORIZON CAPITAL,URBAN REALTY,BK4279/PG787,NEWMARK CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000052-1,PROP-000052,2013-10-31,9176847.0,124011.0,174.37,0.0664,SUMMIT CAPITAL,CROWN REALTY,BK5134/PG232,NEWMARK CAPITAL MARKETS,True,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000053-1,PROP-000053,2019-05-31,25298894.0,225883.0,271.46,0.0547,PACIFIC CAPITAL,SAPPHIRE REALTY,BK6363/PG478,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000060-1,PROP-000060,2024-08-31,7880868.0,79605.0,92.47,0.0689,ATLANTIC CAPITAL,NORTHSTAR REALTY,BK1183/PG979,CUSHMAN CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000064-1,PROP-000064,2020-10-31,56585779.0,300988.0,415.38,0.045,SUMMIT CAPITAL,SAPPHIRE REALTY,BK7108/PG87,CUSHMAN CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000064-2,PROP-000064,2020-08-31,45849712.0,243881.0,336.57,0.0534,HORIZON CAPITAL,LEGACY REALTY,BK3323/PG279,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000065-1,PROP-000065,2017-06-30,11900786.0,167617.0,205.34,0.068,HORIZON CAPITAL,NORTHSTAR REALTY,BK2410/PG752,JLL CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000066-1,PROP-000066,2022-09-30,6695567.0,54436.0,65.59,0.07,SUMMIT CAPITAL,URBAN REALTY,BK2067/PG417,BERKADIA CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000066-2,PROP-000066,2018-01-31,6616590.0,53793.0,64.82,0.0642,PACIFIC CAPITAL,URBAN REALTY,BK1217/PG600,CBRE CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000069-1,PROP-000069,2023-10-31,6957378.0,90356.0,104.16,0.0629,RIDGE CAPITAL,URBAN REALTY,BK4847/PG716,BERKADIA CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000069-2,PROP-000069,2015-02-28,8066837.0,104764.0,120.76,0.0489,ATLANTIC CAPITAL,SAPPHIRE REALTY,BK4793/PG742,CBRE CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000073-1,PROP-000073,2012-12-31,12899313.0,143326.0,167.73,0.0532,ATLANTIC CAPITAL,URBAN REALTY,BK6254/PG762,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000073-2,PROP-000073,2019-01-31,14270401.0,158560.0,185.56,0.0663,RIDGE CAPITAL,LEGACY REALTY,BK3418/PG843,BERKADIA CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000074-1,PROP-000074,2022-11-30,28380117.0,166942.0,200.72,0.061,RIDGE CAPITAL,URBAN REALTY,BK6452/PG956,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000074-2,PROP-000074,2015-10-31,29999809.0,176469.0,212.18,0.0594,SUMMIT CAPITAL,NORTHSTAR REALTY,BK6627/PG528,JLL CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000080-1,PROP-000080,2022-12-31,10184828.0,156690.0,191.08,0.0591,ATLANTIC CAPITAL,NORTHSTAR REALTY,BK9512/PG116,NEWMARK CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000080-2,PROP-000080,2013-05-31,9921494.0,152638.0,186.14,0.0652,RIDGE CAPITAL,SAPPHIRE REALTY,BK2915/PG343,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000083-1,PROP-000083,2013-02-28,95988857.0,355514.0,440.37,0.0511,HORIZON CAPITAL,URBAN REALTY,BK8432/PG169,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000083-2,PROP-000083,2017-06-30,82498114.0,305549.0,378.48,0.0477,HORIZON CAPITAL,LEGACY REALTY,BK4962/PG783,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000085-1,PROP-000085,2024-08-31,9437447.0,147460.0,167.06,0.0644,HORIZON CAPITAL,LEGACY REALTY,BK2983/PG222,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000086-1,PROP-000086,2023-02-28,12106219.0,252213.0,297.17,0.0549,RIDGE CAPITAL,SAPPHIRE REALTY,BK1173/PG724,NEWMARK CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000086-2,PROP-000086,2019-05-31,12048101.0,251002.0,295.75,0.0545,RIDGE CAPITAL,SAPPHIRE REALTY,BK8838/PG660,NEWMARK CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000089-1,PROP-000089,2013-01-31,33278464.0,257973.0,298.47,0.045,PACIFIC CAPITAL,CROWN REALTY,BK2605/PG442,NEWMARK CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000089-2,PROP-000089,2014-01-31,26553146.0,205838.0,238.16,0.051,HORIZON CAPITAL,SAPPHIRE REALTY,BK1633/PG995,BERKADIA CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000092-1,PROP-000092,2017-02-28,6157227.0,205241.0,262.86,0.0478,RIDGE CAPITAL,URBAN REALTY,BK8688/PG45,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000093-1,PROP-000093,2023-08-31,41530777.0,172327.0,209.41,0.0543,SUMMIT CAPITAL,CROWN REALTY,BK1462/PG967,NEWMARK CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000093-2,PROP-000093,2017-04-30,36880765.0,153032.0,185.97,0.063,ATLANTIC CAPITAL,SAPPHIRE REALTY,BK9776/PG679,CBRE CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000097-1,PROP-000097,2024-04-30,8946460.0,133529.0,158.62,0.0738,ATLANTIC CAPITAL,LEGACY REALTY,BK7991/PG122,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000098-1,PROP-000098,2021-08-31,1790493.0,17554.0,23.23,0.0826,PACIFIC CAPITAL,URBAN REALTY,BK7172/PG54,CUSHMAN CAPITAL MARKETS,True,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000098-2,PROP-000098,2013-11-30,1933912.0,18960.0,25.09,0.0706,PACIFIC CAPITAL,URBAN REALTY,BK8285/PG837,CBRE CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000099-1,PROP-000099,2017-01-31,28410213.0,270573.0,356.16,0.0625,RIDGE CAPITAL,SAPPHIRE REALTY,BK1336/PG735,NEWMARK CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000101-1,PROP-000101,2024-04-30,35708318.0,182185.0,221.58,0.0683,PACIFIC CAPITAL,CROWN REALTY,BK7918/PG78,CBRE CAPITAL MARKETS,True,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000101-2,PROP-000101,2017-02-28,39886066.0,203500.0,247.51,0.0582,ATLANTIC CAPITAL,URBAN REALTY,BK3253/PG133,CBRE CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000105-1,PROP-000105,2017-07-31,31233697.0,121061.0,154.95,0.0681,SUMMIT CAPITAL,CROWN REALTY,BK7770/PG128,NEWMARK CAPITAL MARKETS,True,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000105-2,PROP-000105,2022-04-30,31355095.0,121531.0,155.55,0.0671,SUMMIT CAPITAL,SAPPHIRE REALTY,BK1183/PG390,CBRE CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000106-1,PROP-000106,2014-12-31,5191891.0,110466.0,130.77,0.0628,HORIZON CAPITAL,LEGACY REALTY,BK3245/PG337,JLL CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000106-2,PROP-000106,2020-10-31,6488247.0,138048.0,163.43,0.0459,PACIFIC CAPITAL,SAPPHIRE REALTY,BK8843/PG229,CBRE CAPITAL MARKETS,True,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000107-1,PROP-000107,2016-06-30,19814321.0,104838.0,121.26,0.0523,HORIZON CAPITAL,SAPPHIRE REALTY,BK9411/PG84,NEWMARK CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000109-1,PROP-000109,2020-02-29,6053485.0,201783.0,253.34,0.0631,HORIZON CAPITAL,SAPPHIRE REALTY,BK1703/PG901,CUSHMAN CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000110-1,PROP-000110,2018-01-31,78973331.0,274213.0,338.87,0.0573,ATLANTIC CAPITAL,URBAN REALTY,BK3086/PG500,NEWMARK CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000110-2,PROP-000110,2013-10-31,87796085.0,304848.0,376.73,0.045,SUMMIT CAPITAL,URBAN REALTY,BK9540/PG304,BERKADIA CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000117-1,PROP-000117,2018-04-30,9743644.0,324788.0,411.12,0.0495,PACIFIC CAPITAL,LEGACY REALTY,BK5972/PG866,NEWMARK CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000117-2,PROP-000117,2016-12-31,9235542.0,307851.0,389.69,0.045,PACIFIC CAPITAL,SAPPHIRE REALTY,BK3248/PG490,CUSHMAN CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000121-1,PROP-000121,2020-04-30,39829689.0,276595.0,355.16,0.0565,ATLANTIC CAPITAL,CROWN REALTY,BK4732/PG330,CUSHMAN CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000121-2,PROP-000121,2019-04-30,43885841.0,304763.0,391.32,0.0638,SUMMIT CAPITAL,LEGACY REALTY,BK9481/PG702,BERKADIA CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000123-1,PROP-000123,2013-04-30,9896952.0,113758.0,130.94,0.0503,SUMMIT CAPITAL,LEGACY REALTY,BK9892/PG576,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000125-1,PROP-000125,2014-05-31,7446694.0,106381.0,134.02,0.0668,SUMMIT CAPITAL,CROWN REALTY,BK6527/PG197,BERKADIA CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000125-2,PROP-000125,2016-09-30,6547193.0,93531.0,117.83,0.0645,RIDGE CAPITAL,CROWN REALTY,BK8521/PG560,CUSHMAN CAPITAL MARKETS,True,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000126-1,PROP-000126,2016-02-29,14448620.0,118431.0,148.0,0.047,HORIZON CAPITAL,NORTHSTAR REALTY,BK4095/PG841,CUSHMAN CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000126-2,PROP-000126,2015-11-30,14663797.0,120195.0,150.21,0.0667,RIDGE CAPITAL,CROWN REALTY,BK7889/PG213,CUSHMAN CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000129-1,PROP-000129,2018-03-31,18083082.0,212742.0,273.45,0.0564,HORIZON CAPITAL,URBAN REALTY,BK3967/PG135,CUSHMAN CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000129-2,PROP-000129,2024-07-31,21106645.0,248313.0,319.17,0.0529,RIDGE CAPITAL,NORTHSTAR REALTY,BK9986/PG558,CUSHMAN CAPITAL MARKETS,True,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000132-1,PROP-000132,2024-07-31,13301671.0,130409.0,165.14,0.0531,RIDGE CAPITAL,CROWN REALTY,BK5541/PG301,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000135-1,PROP-000135,2021-06-30,30399478.0,264343.0,292.64,0.054,HORIZON CAPITAL,CROWN REALTY,BK6189/PG790,JLL CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
